date,nominal,real
1947-02-01,243.164,2945.868
1947-03-01,244.099,2943.264
1947-04-01,245.033,2940.659
1947-05-01,245.968,2938.055
1947-06-01,247.174,2936.048
1947-07-01,248.379,2934.042
1947-08-01,249.585,2932.035
1947-09-01,252.972,2947.34
1947-10-01,256.358,2962.646
1947-11-01,259.745,2977.951
1947-12-01,261.744,2992.9
1948-01-01,263.743,3007.85
1948-02-01,265.742,3022.8
1948-03-01,268.017,3039.449
1948-04-01,270.292,3056.098
1948-05-01,272.567,3072.748
1948-06-01,274.777,3078.632
1948-07-01,276.986,3084.517
1948-08-01,279.196,3090.401
1948-09-01,279.586,3091.568
1948-10-01,279.976,3092.735
1948-11-01,280.366,3093.902
1948-12-01,278.589,3079.705
1949-01-01,276.811,3065.508
1949-02-01,275.034,3051.311
1949-03-01,273.806,3047.857
1949-04-01,272.579,3044.402
1949-05-01,271.351,3040.947
1949-06-01,271.864,3051.428
1949-07-01,272.376,3061.908
1949-08-01,272.889,3072.389
1949-09-01,272.135,3063.809
1949-10-01,271.381,3055.228
1949-11-01,270.627,3046.648
1949-12-01,274.027,3086.576
1950-01-01,277.428,3126.505
1950-02-01,280.828,3166.433
1950-03-01,284.013,3198.635
1950-04-01,287.198,3230.837
1950-05-01,290.383,3263.038
1950-06-01,296.306,3305.078
1950-07-01,302.23,3347.118
1950-08-01,308.153,3389.157
1950-09-01,312.084,3410.791
1950-10-01,316.014,3432.424
1950-11-01,319.945,3454.058
1950-12-01,325.297,3469.693
1951-01-01,330.648,3485.328
1951-02-01,336.0,3500.963
1951-03-01,338.697,3521.176
1951-04-01,341.393,3541.39
1951-05-01,344.09,3561.604
1951-06-01,346.522,3586.06
1951-07-01,348.953,3610.516
1951-08-01,351.385,3634.973
1951-09-01,352.983,3637.626
1951-10-01,354.58,3640.278
1951-11-01,356.178,3642.931
1951-12-01,357.392,3655.887
1952-01-01,358.606,3668.843
1952-02-01,359.82,3681.799
1952-03-01,360.223,3684.429
1952-04-01,360.627,3687.059
1952-05-01,361.03,3689.689
1952-06-01,363.254,3698.559
1952-07-01,365.477,3707.43
1952-08-01,367.701,3716.3
1952-09-01,372.071,3756.981
1952-10-01,376.442,3797.661
1952-11-01,380.812,3838.341
1952-12-01,383.201,3862.127
1953-01-01,385.591,3885.912
1953-02-01,387.98,3909.698
1953-03-01,389.236,3919.773
1953-04-01,390.493,3929.848
1953-05-01,391.749,3939.923
1953-06-01,391.556,3932.536
1953-07-01,391.364,3925.148
1953-08-01,391.171,3917.761
1953-09-01,389.437,3897.993
1953-10-01,387.704,3878.225
1953-11-01,385.97,3858.457
1953-12-01,385.762,3852.314
1954-01-01,385.553,3846.172
1954-02-01,385.345,3840.03
1954-03-01,385.604,3841.43
1954-04-01,385.862,3842.831
1954-05-01,386.121,3844.231
1954-06-01,387.746,3858.707
1954-07-01,389.371,3873.183
1954-08-01,390.996,3887.659
1954-09-01,393.909,3913.019
1954-10-01,396.821,3938.379
1954-11-01,399.734,3963.739
1954-12-01,404.18,4001.482
1955-01-01,408.627,4039.225
1955-02-01,413.073,4076.967
