date,gdppw,p50
1988-02-01,128.3,
1988-03-01,129.0,
1988-04-01,128.6,
1988-05-01,129.5,
1988-06-01,129.0,
1988-07-01,129.1,
1988-08-01,129.1,
1988-09-01,129.1,
1988-10-01,129.2,
1988-11-01,129.6,
1988-12-01,130.2,
1989-01-01,129.8,55.3
1989-02-01,130.1,55.3
1989-03-01,129.8,54.9
1989-04-01,129.7,55.8
1989-05-01,129.7,55.4
1989-06-01,129.7,55.8
1989-07-01,130.0,55.6
1989-08-01,130.2,55.5
1989-09-01,130.5,55.7
1989-10-01,130.0,56.3
1989-11-01,129.7,55.7
1989-12-01,130.6,55.4
1990-01-01,128.8,54.7
1990-02-01,129.1,55.1
1990-03-01,128.9,54.6
1990-04-01,129.7,54.3
1990-05-01,129.7,55.3
1990-06-01,129.6,55.6
1990-07-01,129.7,54.3
1990-08-01,128.9,54.4
1990-09-01,128.1,53.7
1990-10-01,127.2,54.0
1990-11-01,127.1,54.3
1990-12-01,127.4,53.8
1991-01-01,127.2,54.8
1991-02-01,127.4,54.2
1991-03-01,128.0,54.4
1991-04-01,127.9,53.7
1991-05-01,128.9,54.1
1991-06-01,128.9,54.0
1991-07-01,129.3,54.6
1991-08-01,129.6,53.9
1991-09-01,128.9,54.0
1991-10-01,129.3,54.0
1991-11-01,129.4,53.7
1991-12-01,130.3,54.3
1992-01-01,130.2,53.8
1992-02-01,130.7,54.1
1992-03-01,130.3,54.7
1992-04-01,130.5,54.5
1992-05-01,131.1,53.7
1992-06-01,131.3,53.5
1992-07-01,131.3,54.0
1992-08-01,131.4,54.2
1992-09-01,131.9,54.3
1992-10-01,132.3,53.5
1992-11-01,132.6,54.3
1992-12-01,132.9,53.7
1993-01-01,132.5,53.2
1993-02-01,132.1,53.8
1993-03-01,131.9,54.2
1993-04-01,132.1,54.7
1993-05-01,131.7,54.2
1993-06-01,131.8,55.1
1993-07-01,132.1,54.8
1993-08-01,131.8,56.2
1993-09-01,132.7,54.6
1993-10-01,132.7,54.9
1993-11-01,133.0,55.1
1993-12-01,133.4,54.8
1994-01-01,133.1,55.6
