date,M2,m2_level,gdp
1988-02-01,56.3491,2.9,5.1
1988-03-01,56.4662,2.9,5.1
1988-04-01,56.7893,2.9,5.2
1988-05-01,56.0825,2.9,5.2
1988-06-01,56.2214,2.9,5.2
1988-07-01,56.2311,3,5.3
1988-08-01,55.8374,2.9,5.3
1988-09-01,55.435,3,5.3
1988-10-01,55.2548,3,5.4
1988-11-01,55.2402,3,5.4
1988-12-01,55.191,3,5.4
1989-01-01,54.7844,3,5.5
1989-02-01,54.1184,3,5.5
1989-03-01,54.0849,3,5.5
1989-04-01,54.1916,3,5.6
1989-05-01,53.3812,3,5.6
1989-06-01,53.5913,3,5.6
1989-07-01,53.9122,3.1,5.7
1989-08-01,53.9228,3.1,5.7
1989-09-01,54.0257,3.1,5.7
1989-10-01,54.264,3.1,5.7
1989-11-01,54.5654,3.1,5.7
1989-12-01,54.6825,3.2,5.8
1990-01-01,54.3726,3.2,5.8
1990-02-01,53.9871,3.2,5.9
1990-03-01,54.0953,3.2,5.9
1990-04-01,54.2884,3.2,5.9
1990-05-01,53.4679,3.2,6
1990-06-01,53.7068,3.2,6
1990-07-01,53.7708,3.2,6
1990-08-01,53.8427,3.2,6
1990-09-01,54.045,3.2,6
1990-10-01,54.1544,3.3,6
1990-11-01,54.3788,3.3,6
1990-12-01,54.6162,3.3,6
1991-01-01,54.5939,3.3,6
1991-02-01,54.6181,3.3,6
1991-03-01,54.854,3.3,6.1
1991-04-01,54.9432,3.3,6.1
1991-05-01,54.3557,3.3,6.1
1991-06-01,54.4382,3.3,6.2
1991-07-01,54.282,3.4,6.2
1991-08-01,54.0031,3.4,6.2
1991-09-01,53.7726,3.3,6.2
1991-10-01,53.7037,3.4,6.2
1991-11-01,53.814,3.4,6.3
1991-12-01,53.7746,3.4,6.3
1992-01-01,53.445,3.4,6.3
1992-02-01,53.2775,3.4,6.4
1992-03-01,53.2084,3.4,6.4
1992-04-01,53.1308,3.4,6.4
1992-05-01,52.3586,3.4,6.5
1992-06-01,52.112,3.4,6.5
1992-07-01,51.926,3.4,6.5
1992-08-01,51.7236,3.4,6.6
1992-09-01,51.4967,3.4,6.6
1992-10-01,51.4651,3.4,6.6
1992-11-01,51.392,3.4,6.7
1992-12-01,51.3855,3.4,6.7
1993-01-01,50.9977,3.4,6.7
1993-02-01,50.5345,3.4,6.7
1993-03-01,50.4814,3.4,6.8
1993-04-01,50.5776,3.4,6.8
1993-05-01,50.3015,3.4,6.8
1993-06-01,50.3342,3.4,6.8
1993-07-01,50.2004,3.4,6.9
1993-08-01,49.9978,3.4,6.9
1993-09-01,49.7186,3.4,6.9
1993-10-01,49.5376,3.5,7
1993-11-01,49.5413,3.5,7
1993-12-01,49.592,3.5,7
1994-01-01,49.1423,3.5,7.1
1994-02-01,48.621,3.5,7.1
1994-03-01,48.5682,3.5,7.2
1994-04-01,48.6327,3.5,7.2
1994-05-01,47.9444,3.5,7.2
1994-06-01,47.7995,3.5,7.3
