date,value
1989-01-01,511.12
1989-02-01,503.54
1989-03-01,511.28
1989-04-01,511.06
1989-05-01,506.85
1989-06-01,495.38
1989-07-01,486.79
1989-08-01,485.03
1989-09-01,513.62
1989-10-01,506.21
1989-11-01,506.73
1989-12-01,506.84
1990-01-01,504.98
1990-02-01,511.25
1990-03-01,506.53
1990-04-01,512.52
1990-05-01,509.36
1990-06-01,492.61
1990-07-01,484.49
1990-08-01,485.86
1990-09-01,492.95
1990-10-01,487.91
1990-11-01,498.81
1990-12-01,493.82
1991-01-01,506.55
1991-02-01,515.19
1991-03-01,502.84
1991-04-01,503.8
1991-05-01,504.46
1991-06-01,488.22
1991-07-01,484.66
1991-08-01,488.58
1991-09-01,501.86
1991-10-01,508.17
1991-11-01,500.56
1991-12-01,501.41
1992-01-01,502.5
1992-02-01,499.54
1992-03-01,501.45
1992-04-01,506.21
1992-05-01,497.55
1992-06-01,482.22
1992-07-01,477.89
1992-08-01,481.04
1992-09-01,502.71
1992-10-01,493.02
1992-11-01,500.97
1992-12-01,493.77
1993-01-01,488.6
1993-02-01,500.0
1993-03-01,498.53
1993-04-01,494.73
1993-05-01,502.79
1993-06-01,485.37
1993-07-01,475.08
1993-08-01,477.56
1993-09-01,495.56
1993-10-01,493.3
1993-11-01,499.87
1993-12-01,491.46
1994-01-01,506.99
1994-02-01,486.43
1994-03-01,499.76
1994-04-01,492.28
1994-05-01,488.3
1994-06-01,474.44
1994-07-01,467.27
1994-08-01,477.34
1994-09-01,493.99
1994-10-01,484.68
1994-11-01,484.38
1994-12-01,484.79
1995-01-01,497.88
1995-02-01,494.74
1995-03-01,487.71
1995-04-01,481.03
1995-05-01,487.55
1995-06-01,477.69
1995-07-01,464.39
1995-08-01,473.24
1995-09-01,502.4
1995-10-01,496.93
1995-11-01,488.05
1995-12-01,487.96
1996-01-01,492.43
1996-02-01,500.74
1996-03-01,486.04
1996-04-01,487.64
1996-05-01,484.91
1996-06-01,478.52
1996-07-01,468.29
1996-08-01,471.73
1996-09-01,482.88
1996-10-01,501.9
1996-11-01,490.97
1996-12-01,487.71
1997-01-01,500.86
1997-02-01,500.24
1997-03-01,495.62
1997-04-01,498.65
1997-05-01,490.5
1997-06-01,481.65
1997-07-01,473.98
1997-08-01,487.54
1997-09-01,500.94
1997-10-01,505.69
1997-11-01,504.84
1997-12-01,509.41
1998-01-01,523.98
1998-02-01,521.77
1998-03-01,515.74
1998-04-01,517.7
1998-05-01,523.98
1998-06-01,509.68
1998-07-01,508.4
1998-08-01,503.47
1998-09-01,507.31
1998-10-01,519.65
1998-11-01,519.71
1998-12-01,529.56
1999-01-01,541.43
1999-02-01,532.85
1999-03-01,542.12
1999-04-01,544.99
1999-05-01,530.36
1999-06-01,517.15
1999-07-01,512.54
1999-08-01,510.31
1999-09-01,537.09
1999-10-01,533.41
1999-11-01,531.95
1999-12-01,544.32
2000-01-01,547.97
2000-02-01,544.04
2000-03-01,541.06
2000-04-01,537.29
2000-05-01,534.52
2000-06-01,532.28
2000-07-01,510.39
2000-08-01,530.17
2000-09-01,535.8
2000-10-01,536.76
2000-11-01,539.18
2000-12-01,535.63
2001-01-01,541.91
2001-02-01,535.85
2001-03-01,539.77
2001-04-01,536.63
2001-05-01,534.68
2001-06-01,530.44
2001-07-01,528.45
2001-08-01,533.68
2001-09-01,536.46
2001-10-01,544.79
2001-11-01,549.84
2001-12-01,551.08
2002-01-01,552.72
2002-02-01,545.12
2002-03-01,542.11
2002-04-01,547.7
2002-05-01,548.13
2002-06-01,533.57
2002-07-01,532.21
2002-08-01,533.01
2002-09-01,541.87
2002-10-01,539.19
2002-11-01,549.8
2002-12-01,548.12
2003-01-01,541.42
2003-02-01,542.83
2003-03-01,542.78
2003-04-01,545.67
2003-05-01,544.14
2003-06-01,539.11
2003-07-01,539.66
2003-08-01,527.14
2003-09-01,544.03
2003-10-01,540.1
2003-11-01,541.1
2003-12-01,536.36
2004-01-01,543.19
2004-02-01,545.51
2004-03-01,545.7
2004-04-01,544.59
2004-05-01,535.34
2004-06-01,527.19
2004-07-01,522.13
2004-08-01,528.98
2004-09-01,531.24
2004-10-01,534.67
2004-11-01,526.77
2004-12-01,524.86
2005-01-01,543.27
2005-02-01,532.89
2005-03-01,535.76
2005-04-01,536.11
2005-05-01,526.5
2005-06-01,513.92
2005-07-01,509.03
2005-08-01,516.28
2005-09-01,520.16
2005-10-01,514.26
2005-11-01,530.9
2005-12-01,539.56
2006-01-01,536.52
2006-02-01,530.57
2006-03-01,522.11
2006-04-01,525.99
2006-05-01,521.87
2006-06-01,512.02
2006-07-01,508.14
2006-08-01,509.94
2006-09-01,524.81
2006-10-01,525.95
2006-11-01,524.2
2006-12-01,525.14
2007-01-01,522.25
2007-02-01,540.28
2007-03-01,521.58
2007-04-01,533.71
2007-05-01,524.21
2007-06-01,518.98
2007-07-01,510.17
2007-08-01,524.22
2007-09-01,526.29
2007-10-01,522.31
2007-11-01,528.71
2007-12-01,530.01
2008-01-01,536.49
2008-02-01,540.18
2008-03-01,529.46
2008-04-01,534.46
2008-05-01,530.3
2008-06-01,523.56
2008-07-01,511.11
2008-08-01,517.77
2008-09-01,525.82
2008-10-01,526.8
2008-11-01,537.39
2008-12-01,550.54
2009-01-01,550.97
2009-02-01,546.24
2009-03-01,546.66
2009-04-01,550.24
2009-05-01,549.06
2009-06-01,542.47
2009-07-01,523.28
2009-08-01,530.05
2009-09-01,523.68
2009-10-01,532.83
2009-11-01,539.45
2009-12-01,552.65
2010-01-01,550.54
2010-02-01,536.9
2010-03-01,544.45
2010-04-01,557.19
2010-05-01,535.34
2010-06-01,526.39
2010-07-01,519.6
2010-08-01,528.95
2010-09-01,543.68
2010-10-01,532.9
2010-11-01,531.27
2010-12-01,531.44
2011-01-01,534.91
2011-02-01,548.94
2011-03-01,520.94
2011-04-01,533.29
2011-05-01,536.73
2011-06-01,527.13
2011-07-01,517.61
2011-08-01,515.47
2011-09-01,530.93
2011-10-01,512.56
2011-11-01,517.78
2011-12-01,525.54
2012-01-01,526.75
2012-02-01,518.75
2012-03-01,516.92
2012-04-01,526.61
2012-05-01,519.64
2012-06-01,511.71
