date,unjo,Openings,Unemp
2000-12-01,0.903088,5088,5634
2001-01-01,0.869002,5234,6023
2001-02-01,0.837083,5097,6089
2001-03-01,0.775444,4762,6141
2001-04-01,0.735927,4615,6271
2001-05-01,0.710729,4425,6226
2001-06-01,0.672579,4361,6484
2001-07-01,0.675528,4447,6583
2001-08-01,0.571429,4024,7042
2001-09-01,0.570008,4071,7142
2001-10-01,0.481804,3707,7694
2001-11-01,0.471698,3775,8003
2001-12-01,0.445265,3677,8258
2002-01-01,0.45209,3699,8182
2002-02-01,0.418259,3436,8215
2002-03-01,0.434971,3612,8304
2002-04-01,0.403652,3471,8599
2002-05-01,0.411597,3457,8399
2002-06-01,0.406529,3412,8393
2002-07-01,0.401311,3367,8390
2002-08-01,0.423531,3517,8304
2002-09-01,0.400073,3301,8251
2002-10-01,0.418803,3479,8307
2002-11-01,0.412441,3514,8520
2002-12-01,0.366782,3169,8640
2003-01-01,0.403873,3441,8520
2003-02-01,0.374681,3229,8618
2003-03-01,0.360852,3099,8588
2003-04-01,0.351504,3108,8842
2003-05-01,0.367199,3289,8957
2003-06-01,0.365854,3390,9266
2003-07-01,0.330818,2981,9011
2003-08-01,0.358588,3190,8896
2003-09-01,0.346486,3091,8921
2003-10-01,0.378493,3305,8732
2003-11-01,0.387593,3324,8576
2003-12-01,0.410485,3414,8317
2004-01-01,0.40908,3424,8370
2004-02-01,0.432472,3532,8167
2004-03-01,0.415145,3525,8491
2004-04-01,0.429743,3511,8170
2004-05-01,0.451778,3710,8212
2004-06-01,0.402727,3337,8286
2004-07-01,0.468781,3814,8136
2004-08-01,0.443179,3541,7990
2004-09-01,0.482023,3821,7927
2004-10-01,0.489145,3943,8061
2004-11-01,0.437721,3472,7932
2004-12-01,0.513486,4074,7934
2005-01-01,0.488695,3804,7784
2005-02-01,0.496867,3965,7980
2005-03-01,0.522683,4044,7737
2005-04-01,0.542101,4159,7672
2005-05-01,0.496275,3797,7651
2005-06-01,0.539872,4062,7524
2005-07-01,0.574669,4256,7406
2005-08-01,0.563921,4142,7345
2005-09-01,0.576195,4352,7553
2005-10-01,0.561385,4184,7453
2005-11-01,0.561459,4248,7566
2005-12-01,0.588268,4282,7279
2006-01-01,0.622452,4397,7064
2006-02-01,0.602032,4325,7184
2006-03-01,0.669118,4732,7072
2006-04-01,0.672753,4790,7120
2006-05-01,0.639398,4463,6980
2006-06-01,0.659049,4614,7001
2006-07-01,0.612404,4394,7175
2006-08-01,0.664222,4710,7091
2006-09-01,0.691836,4737,6847
2006-10-01,0.682474,4591,6727
2006-11-01,0.675931,4645,6872
2006-12-01,0.68323,4620,6762
2007-01-01,0.669337,4763,7116
2007-02-01,0.67836,4699,6927
2007-03-01,0.737186,4962,6731
2007-04-01,0.684526,4689,6850
2007-05-01,0.688294,4657,6766
2007-06-01,0.696232,4859,6979
2007-07-01,0.643167,4598,7149
2007-08-01,0.643272,4546,7067
2007-09-01,0.648815,4652,7170
2007-10-01,0.640597,4636,7237
2007-11-01,0.641713,4646,7240
2007-12-01,0.594506,4545,7645
2008-01-01,0.601692,4624,7685
2008-02-01,0.570762,4279,7497
2008-03-01,0.540143,4225,7822
2008-04-01,0.528349,4035,7637
2008-05-01,0.499583,4194,8395
2008-06-01,0.446647,3830,8575
2008-07-01,0.419492,3749,8937
2008-08-01,0.389277,3674,9438
2008-09-01,0.339372,3222,9494
2008-10-01,0.335219,3377,10074
2008-11-01,0.306605,3231,10538
2008-12-01,0.278752,3146,11286
2009-01-01,0.227069,2738,12058
2009-02-01,0.22205,2864,12898
2009-03-01,0.188738,2534,13426
2009-04-01,0.165668,2295,13853
2009-05-01,0.175805,2549,14499
2009-06-01,0.170191,2503,14707
2009-07-01,0.152866,2232,14601
2009-08-01,0.157824,2338,14814
2009-09-01,0.165701,2487,15009
2009-10-01,0.156722,2406,15352
2009-11-01,0.164465,2503,15219
2009-12-01,0.170089,2568,15098
2010-01-01,0.188555,2837,15046
2010-02-01,0.176404,2666,15113
2010-03-01,0.176227,2679,15202
2010-04-01,0.205742,3153,15325
2010-05-01,0.201226,2988,14849
2010-06-01,0.193519,2801,14474
2010-07-01,0.212376,3082,14512
2010-08-01,0.204738,2999,14648
2010-09-01,0.200151,2918,14579
2010-10-01,0.222858,3235,14516
2010-11-01,0.212917,3211,15081
2010-12-01,0.213131,3058,14348
2011-01-01,0.221509,3104,14013
2011-02-01,0.23343,3226,13820
2011-03-01,0.237388,3261,13737
2011-04-01,0.233503,3259,13957
2011-05-01,0.229448,3179,13855
2011-06-01,0.247457,3455,13962
2011-07-01,0.263242,3623,13763
2011-08-01,0.240918,3329,13818
2011-09-01,0.270576,3774,13948
2011-10-01,0.26622,3619,13594
2011-11-01,0.268005,3565,13302
2011-12-01,0.287787,3768,13093
2012-01-01,0.305462,3909,12797
2012-02-01,0.282213,3616,12813
2012-03-01,0.312987,3979,12713
2012-04-01,0.299937,3793,12646
2012-05-01,0.302923,3835,12660
2012-06-01,0.308147,3911,12692
2012-07-01,0.295117,3735,12656
2012-08-01,0.305429,3809,12471
2012-09-01,0.320429,3882,12115
2012-10-01,0.311366,3775,12124
2012-11-01,0.323032,3878,12005
2012-12-01,0.322817,3970,12298
2013-01-01,0.31457,3923,12471
2013-02-01,0.335063,4004,11950
2013-03-01,0.348704,4076,11689
2013-04-01,0.339116,3988,11760
2013-05-01,0.355672,4145,11654
2013-06-01,0.353161,4150,11751
2013-07-01,0.342744,3885,11335
2013-08-01,0.362177,4085,11279
2013-09-01,0.366282,4128,11270
2013-10-01,0.379131,4222,11136
2013-11-01,0.381849,4119,10787
2013-12-01,0.396098,4121,10404
2014-01-01,0.404529,4127,10202
2014-02-01,0.422553,4373,10349
2014-03-01,0.422736,4388,10380
2014-04-01,0.470625,4566,9702
2014-05-01,0.481489,4747,9859
2014-06-01,0.526638,4982,9460
2014-07-01,0.504371,4846,9608
2014-08-01,0.557246,5349,9599
2014-09-01,0.530555,4914,9262
2014-10-01,0.557508,5012,8990
2014-11-01,0.532783,4843,9090
2014-12-01,0.588505,5130,8717
2015-01-01,0.601463,5344,8885
2015-02-01,0.635655,5466,8599
2015-03-01,0.611861,5210,8515
2015-04-01,0.654737,5598,8550
2015-05-01,0.629726,5563,8834
2015-06-01,0.636353,5248,8247
2015-07-01,0.741521,6056,8167
2015-08-01,0.684059,5467,7992
2015-09-01,0.694069,5488,7907
2015-10-01,0.72873,5773,7922
2015-11-01,0.7135,5708,8000
2015-12-01,0.739218,5845,7907
2016-01-01,0.788252,6012,7627
2016-02-01,0.749156,5770,7702
2016-03-01,0.769878,6129,7961
2016-04-01,0.71935,5803,8067
2016-05-01,0.754966,5777,7652
2016-06-01,0.741477,5742,7744
2016-07-01,0.780264,5962,7641
2016-08-01,0.729317,5677,7784
2016-09-01,0.737835,5868,7953
2016-10-01,0.715785,5591,7811
2016-11-01,0.790547,5971,7553
2016-12-01,0.79298,5964,7521
2017-01-01,0.752142,5617,7468
2017-02-01,0.802683,5923,7379
2017-03-01,0.821575,5811,7073
2017-04-01,0.859219,6091,7089
2017-05-01,0.832286,5826,7000
2017-06-01,0.917358,6305,6873
2017-07-01,0.905107,6238,6892
2017-08-01,0.88619,6276,7082
2017-09-01,0.922089,6320,6854
2017-10-01,0.956418,6408,6700
2017-11-01,0.925745,6271,6774
2017-12-01,0.955368,6336,6632
2018-01-01,1.02034,6621,6489
2018-02-01,0.995593,6552,6581
2018-03-01,1.05346,6818,6472
2018-04-01,1.06472,6877,6459
2018-05-01,1.13234,7016,6196
2018-06-01,1.12145,7230,6447
2018-07-01,1.16061,7190,6195
2018-08-01,1.17089,7208,6156
2018-09-01,1.22032,7411,6073
2018-10-01,1.17598,7304,6211
2018-11-01,1.24186,7594,6115
2018-12-01,1.17217,7489,6389
2019-01-01,1.15861,7502,6475
2019-02-01,1.15156,7066,6136
2019-03-01,1.17978,7317,6202
2019-04-01,1.21993,7272,5961
2019-05-01,1.22681,7275,5930
2019-06-01,1.21213,7194,5935
2019-07-01,1.16185,7042,6061
2019-08-01,1.2074,7178,5945
2019-09-01,1.23831,7124,5753
2019-10-01,1.24153,7289,5871
2019-11-01,1.17382,6888,5868
2019-12-01,1.14454,6699,5853
2020-01-01,1.21384,7124,5869
2020-02-01,1.21085,6966,5753
2020-03-01,0.81793,5894,7206
2020-04-01,0.199532,4606,23084
2020-05-01,0.268145,5612,20929
2020-06-01,0.347213,6129,17652
2020-07-01,0.39934,6530,16352
2020-08-01,0.477602,6429,13461
2020-09-01,0.518639,6511,12554
2020-10-01,0.613981,6798,11072
2020-11-01,0.637741,6820,10694
2020-12-01,0.628877,6773,10770
2021-01-01,0.702144,7204,10260
2021-02-01,0.774194,7752,10013
2021-03-01,0.866762,8470,9772
2021-04-01,0.959196,9356,9754
2021-05-01,1.06965,9905,9260
2021-06-01,1.08617,10298,9481
2021-07-01,1.26549,11049,8731
2021-08-01,1.32495,10956,8269
2021-09-01,1.42957,10879,7610
2021-10-01,1.56062,11341,7267
2021-11-01,1.6524,11119,6729
2021-12-01,1.78029,11417,6413
2022-01-01,1.72019,11238,6533
